unix_ts,phase,cpu_pct,mem_mb
1786146288.6,baseline,0.1,371.9
1786146290.6,baseline,1.8,372.7
1786146292.6,baseline,0.1,372.6
1786146294.7,ingest,19.4,438.6
1786146296.7,ingest,14.5,485.2
1786146298.7,ingest,13.6,509.1
1786146300.7,ingest,15.1,510.1
1786146302.7,ingest,15.7,510.6
1786146304.8,ingest,12.6,526.5
1786146306.8,ingest,13.9,537.5
1786146308.8,ingest,13.7,552.2
1786146310.8,ingest,15.2,576.2
1786146312.8,ingest,13.0,584.4
1786146314.9,ingest,14.4,612.8
1786146316.9,ingest,12.9,612.7
1786146318.9,ingest,12.7,614.2
1786146320.9,ingest,21.0,631.3
1786146322.9,ingest,15.5,652.9
1786146325.0,ingest,15.5,635.0
1786146327.0,ingest,13.5,670.9
1786146329.0,ingest,13.7,684.5
1786146331.0,ingest,16.1,712.9
1786146333.0,ingest,15.0,733.4
1786146335.2,ingest,16.1,772.4
1786146337.2,ingest,13.4,762.3
1786146339.1,ingest,12.9,771.1
1786146341.1,ingest,14.1,765.0
1786146343.2,ingest,14.5,742.9
1786146345.2,ingest,13.7,752.5
1786146347.2,ingest,12.6,766.3
1786146349.2,ingest,12.4,784.9
1786146351.2,ingest,15.9,804.3
1786146353.3,ingest,14.4,837.7
1786146355.3,ingest,12.8,851.4
1786146357.3,ingest,13.0,856.4
1786146359.3,ingest,13.5,870.1
1786146361.3,ingest,15.8,871.4
1786146363.4,ingest,13.4,884.8
1786146365.4,ingest,12.9,897.3
1786146367.4,ingest,13.1,922.9
1786146369.4,ingest,13.5,947.3
1786146371.4,ingest,18.6,979.1
1786146373.5,ingest,14.8,981.8
1786146375.5,ingest,13.7,989.2
1786146377.5,ingest,12.9,987.4
1786146379.5,ingest,13.0,991.2
1786146381.6,ingest,17.9,983.7
1786146383.6,ingest,14.0,1011.4
1786146385.6,ingest,13.3,997.4
1786146387.6,ingest,13.1,1004.5
1786146389.6,ingest,13.4,1005.3
1786146391.7,ingest,14.8,1008.4
1786146393.7,ingest,13.3,1004.1
1786146395.7,ingest,11.8,1018.2
1786146397.7,ingest,13.1,1043.2
1786146399.7,ingest,13.5,1042.6
1786146401.8,ingest,15.3,1062.2
1786146403.8,ingest,16.7,1060.1
1786146405.8,ingest,13.2,1080.2
1786146407.8,ingest,15.0,1102.7
1786146409.8,ingest,13.2,1100.6
1786146411.9,ingest,14.8,1116.7
1786146413.9,ingest,15.0,1157.5
1786146415.9,ingest,13.0,1161.8
1786146418.0,ingest,13.2,1167.2
1786146420.0,ingest,16.4,1159.6
1786146422.0,ingest,16.1,1161.8
1786146424.0,ingest,15.0,1179.0
1786146426.0,ingest,14.3,1202.6
1786146428.1,ingest,14.8,1220.8
1786146430.1,ingest,13.3,1248.8
1786146432.1,ingest,15.0,1259.5
1786146434.1,ingest,18.1,1270.2
1786146436.2,ingest,15.8,1274.5
1786146438.2,ingest,14.5,1307.8
1786146440.2,ingest,15.6,1306.7
1786146442.2,ingest,11.0,1316.4
1786146444.2,ingest,14.5,1316.4
1786146446.3,ingest,14.3,1334.7
1786146448.3,ingest,16.1,1384.1
1786146450.3,ingest,16.2,1427.0
1786146452.3,ingest,15.3,1447.4
1786146454.3,ingest,14.8,1462.4
1786146456.4,ingest,13.5,1476.4
1786146458.4,ingest,14.0,1441.0
1786146460.4,ingest,13.6,1462.4
1786146462.4,ingest,14.8,1490.4
1786146464.4,ingest,13.7,1481.8
1786146466.5,ingest,12.8,1479.6
1786146468.5,ingest,14.2,1482.8
1786146470.5,ingest,13.1,1492.5
1786146472.5,ingest,15.2,1529.0
1786146474.5,ingest,14.2,1526.9
1786146476.5,ingest,14.7,1529.0
1786146478.6,ingest,13.7,1530.1
1786146480.6,ingest,13.6,1546.2
1786146482.6,ingest,13.1,1527.9
1786146484.6,ingest,14.0,1536.5
1786146486.7,ingest,13.1,1536.5
1786146488.7,ingest,12.7,1564.4
1786146490.7,ingest,13.6,1573.0
1786146492.7,ingest,13.1,1580.5
1786146494.7,ingest,14.5,1570.9
1786146496.8,ingest,13.4,1585.9
1786146498.8,ingest,14.7,1584.8
1786146500.8,ingest,14.3,1596.7
1786146502.8,ingest,16.6,1608.5
1786146504.8,ingest,15.5,1608.5
1786146506.9,ingest,13.9,1618.1
1786146508.9,ingest,14.9,1636.4
1786146510.9,ingest,14.3,1651.4
1786146512.9,ingest,12.9,1653.6
1786146514.9,ingest,15.3,1676.1
1786146517.0,ingest,13.3,1683.6
