test,run,ms,rows,status,error
A_journey_01,1,1140,16,ok,
A_journey_02,1,539,16,ok,
A_journey_03,1,520,20,ok,
A_journey_04,1,531,20,ok,
A_journey_05,1,522,20,ok,
A_journey_06,1,532,20,ok,
A_journey_07,1,534,20,ok,
A_journey_08,1,555,20,ok,
A_journey_09,1,520,20,ok,
A_journey_10,1,423,20,ok,
A_journey_11,1,404,20,ok,
A_journey_12,1,607,20,ok,
A_journey_13,1,570,20,ok,
A_journey_14,1,350,20,ok,
A_journey_15,1,345,20,ok,
A_journey_16,1,331,20,ok,
A_journey_17,1,503,20,ok,
A_journey_18,1,414,20,ok,
A_journey_19,1,467,20,ok,
A_journey_20,1,324,20,ok,
B1_funnel_24h,1,5710,10,ok,
B1_funnel_24h,2,5827,10,ok,
B1_funnel_24h,3,5829,10,ok,
B2_funnel_48h,1,16774,10,ok,
B2_funnel_48h,2,16445,10,ok,
B2_funnel_48h,3,16525,10,ok,
B3_inflight_24h,1,10255,10,ok,
B3_inflight_24h,2,10231,10,ok,
B3_inflight_24h,3,10201,10,ok,
B4_hourly_throughput_48h,1,30270,477,ok,
B4_hourly_throughput_48h,2,30152,477,ok,
B4_hourly_throughput_48h,3,30890,477,ok,
B5_route_rollup_24h,1,6242,40,ok,
B5_route_rollup_24h,2,6030,40,ok,
B5_route_rollup_24h,3,5997,40,ok,
