test,run,ms,rows,status,error
A_journey_01,1,68,20,ok,
A_journey_02,1,62,20,ok,
A_journey_03,1,66,2,ok,
A_journey_04,1,60,20,ok,
A_journey_05,1,59,20,ok,
A_journey_06,1,56,20,ok,
A_journey_07,1,57,20,ok,
A_journey_08,1,56,20,ok,
A_journey_09,1,57,20,ok,
A_journey_10,1,60,20,ok,
A_journey_11,1,56,2,ok,
A_journey_12,1,54,20,ok,
A_journey_13,1,56,20,ok,
A_journey_14,1,55,4,ok,
A_journey_15,1,63,20,ok,
A_journey_16,1,59,16,ok,
A_journey_17,1,55,20,ok,
A_journey_18,1,95,20,ok,
A_journey_19,1,16,20,ok,
A_journey_20,1,59,16,ok,
B1_funnel_24h,1,64,10,ok,
B1_funnel_24h,2,66,10,ok,
B1_funnel_24h,3,58,10,ok,
B2_funnel_48h,1,64,10,ok,
B2_funnel_48h,2,67,10,ok,
B2_funnel_48h,3,61,10,ok,
B3_inflight_24h,1,64,10,ok,
B3_inflight_24h,2,60,10,ok,
B3_inflight_24h,3,56,10,ok,
B4_hourly_throughput_48h,1,58,472,ok,
B4_hourly_throughput_48h,2,64,472,ok,
B4_hourly_throughput_48h,3,59,472,ok,
B5_route_rollup_24h,1,60,40,ok,
B5_route_rollup_24h,2,63,40,ok,
B5_route_rollup_24h,3,63,40,ok,
