test,run,ms,rows,status,error
A_journey_01,1,51,16,ok,
A_journey_02,1,52,20,ok,
A_journey_03,1,51,16,ok,
A_journey_04,1,49,20,ok,
A_journey_05,1,51,20,ok,
A_journey_06,1,48,20,ok,
A_journey_07,1,46,20,ok,
A_journey_08,1,49,20,ok,
A_journey_09,1,48,20,ok,
A_journey_10,1,49,20,ok,
A_journey_11,1,48,20,ok,
A_journey_12,1,51,20,ok,
A_journey_13,1,48,20,ok,
A_journey_14,1,49,20,ok,
A_journey_15,1,48,20,ok,
A_journey_16,1,47,20,ok,
A_journey_17,1,48,20,ok,
A_journey_18,1,52,18,ok,
A_journey_19,1,49,20,ok,
A_journey_20,1,47,20,ok,
B1_funnel_24h,1,50,10,ok,
B1_funnel_24h,2,56,10,ok,
B1_funnel_24h,3,57,10,ok,
B2_funnel_48h,1,52,10,ok,
B2_funnel_48h,2,55,10,ok,
B2_funnel_48h,3,53,10,ok,
B3_inflight_24h,1,49,10,ok,
B3_inflight_24h,2,48,10,ok,
B3_inflight_24h,3,50,10,ok,
B4_hourly_throughput_48h,1,50,473,ok,
B4_hourly_throughput_48h,2,49,473,ok,
B4_hourly_throughput_48h,3,55,473,ok,
B5_route_rollup_24h,1,49,40,ok,
B5_route_rollup_24h,2,53,40,ok,
B5_route_rollup_24h,3,54,40,ok,
