test,run,ms,rows,status,error
A_journey_01,1,161,20,ok,
A_journey_02,1,176,20,ok,
A_journey_03,1,103,20,ok,
A_journey_04,1,184,20,ok,
A_journey_05,1,62,20,ok,
A_journey_06,1,95,20,ok,
A_journey_07,1,60,20,ok,
A_journey_08,1,121,20,ok,
A_journey_09,1,143,20,ok,
A_journey_10,1,120,20,ok,
A_journey_11,1,110,20,ok,
A_journey_12,1,102,16,ok,
A_journey_13,1,99,20,ok,
A_journey_14,1,149,20,ok,
A_journey_15,1,76,20,ok,
A_journey_16,1,58,20,ok,
A_journey_17,1,73,20,ok,
A_journey_18,1,88,20,ok,
A_journey_19,1,55,20,ok,
A_journey_20,1,97,20,ok,
B1_funnel_24h,1,66,10,ok,
B1_funnel_24h,2,154,10,ok,
B1_funnel_24h,3,79,10,ok,
B2_funnel_48h,1,83,10,ok,
B2_funnel_48h,2,128,10,ok,
B2_funnel_48h,3,86,10,ok,
B3_inflight_24h,1,60,10,ok,
B3_inflight_24h,2,49,10,ok,
B3_inflight_24h,3,87,10,ok,
B4_hourly_throughput_48h,1,64,475,ok,
B4_hourly_throughput_48h,2,63,475,ok,
B4_hourly_throughput_48h,3,63,475,ok,
B5_route_rollup_24h,1,94,40,ok,
B5_route_rollup_24h,2,105,40,ok,
B5_route_rollup_24h,3,123,40,ok,
