test,run,ms,rows,status,error
A_journey_01,1,69,20,ok,
A_journey_02,1,101,20,ok,
A_journey_03,1,56,20,ok,
A_journey_04,1,63,20,ok,
A_journey_05,1,81,20,ok,
A_journey_06,1,24,20,ok,
A_journey_07,1,111,16,ok,
A_journey_08,1,38,20,ok,
A_journey_09,1,65,20,ok,
A_journey_10,1,62,20,ok,
A_journey_11,1,105,20,ok,
A_journey_12,1,23,20,ok,
A_journey_13,1,69,20,ok,
A_journey_14,1,65,20,ok,
A_journey_15,1,74,20,ok,
A_journey_16,1,65,20,ok,
A_journey_17,1,64,20,ok,
A_journey_18,1,47,20,ok,
A_journey_19,1,47,20,ok,
A_journey_20,1,48,20,ok,
B1_funnel_24h,1,67,10,ok,
B1_funnel_24h,2,67,10,ok,
B1_funnel_24h,3,63,10,ok,
B2_funnel_48h,1,84,10,ok,
B2_funnel_48h,2,42,10,ok,
B2_funnel_48h,3,40,10,ok,
B3_inflight_24h,1,58,10,ok,
B3_inflight_24h,2,56,10,ok,
B3_inflight_24h,3,56,10,ok,
B4_hourly_throughput_48h,1,63,475,ok,
B4_hourly_throughput_48h,2,68,475,ok,
B4_hourly_throughput_48h,3,64,475,ok,
B5_route_rollup_24h,1,75,40,ok,
B5_route_rollup_24h,2,72,40,ok,
B5_route_rollup_24h,3,71,40,ok,
