unix_ts,phase,cpu_pct,mem_mb
1786417814.6,baseline,0.0,7.1
1786417816.6,baseline,0.0,7.1
1786417818.7,baseline,0.0,7.4
1786417820.8,ingest,124.9,201.6
1786417822.8,ingest,105.3,351.6
1786417824.8,ingest,20.4,417.2
1786417826.9,ingest,21.2,430.3
1786417828.9,ingest,120.1,585.9
1786417831.0,ingest,16.9,476.5
1786417833.0,ingest,17.2,485.3
1786417835.1,ingest,89.7,411.1
1786417837.1,hosts,115.4,555.6
1786417839.1,query_b,311.1,1599.9
1786417841.2,settle,3.0,1624.6
1786417843.3,settle,0.0,1624.6
1786417845.3,settle,0.0,1624.6
1786417847.3,settle,0.0,1624.6
1786417849.4,settle,0.0,1623.5
