test,run,ms,rows,status,error
A_journey_01,1,222,20,ok,
A_journey_02,1,206,20,ok,
A_journey_03,1,130,20,ok,
A_journey_04,1,126,20,ok,
A_journey_05,1,129,20,ok,
A_journey_06,1,130,20,ok,
A_journey_07,1,123,20,ok,
A_journey_08,1,155,20,ok,
A_journey_09,1,190,20,ok,
A_journey_10,1,150,20,ok,
A_journey_11,1,141,2,ok,
A_journey_12,1,128,20,ok,
A_journey_13,1,134,20,ok,
A_journey_14,1,138,20,ok,
A_journey_15,1,129,20,ok,
A_journey_16,1,133,14,ok,
A_journey_17,1,131,20,ok,
A_journey_18,1,130,20,ok,
A_journey_19,1,12,20,ok,
A_journey_20,1,60,20,ok,
B1_funnel_24h,1,81,10,ok,
B1_funnel_24h,2,77,10,ok,
B1_funnel_24h,3,74,10,ok,
B2_funnel_48h,1,94,10,ok,
B2_funnel_48h,2,51,10,ok,
B2_funnel_48h,3,53,10,ok,
B3_inflight_24h,1,26,10,ok,
B3_inflight_24h,2,69,10,ok,
B3_inflight_24h,3,73,10,ok,
B4_hourly_throughput_48h,1,71,474,ok,
B4_hourly_throughput_48h,2,78,474,ok,
B4_hourly_throughput_48h,3,71,474,ok,
B5_route_rollup_24h,1,85,40,ok,
B5_route_rollup_24h,2,38,40,ok,
B5_route_rollup_24h,3,79,40,ok,
