unix_ts,phase,cpu_pct,mem_mb
1786418282.6,baseline,0.0,7.3
1786418284.7,baseline,0.0,7.1
1786418286.7,baseline,0.0,7.1
1786418288.8,ingest,112.9,210.0
1786418290.8,ingest,19.2,304.0
1786418292.9,ingest,23.0,350.6
1786418294.9,ingest,14.5,374.8
1786418297.0,ingest,14.6,384.3
1786418299.0,ingest,17.2,425.1
1786418301.1,ingest,56.1,472.5
1786418303.2,hosts,110.7,577.8
1786418305.1,query_a,142.0,745.1
1786418307.2,query_a,106.4,2582.3
1786418309.2,storage,116.9,2743.4
1786418311.4,settle,34.1,2805.7
1786418313.4,settle,2.9,2697.2
1786418315.4,settle,0.0,2697.2
1786418317.4,settle,0.0,2697.2
