test,run,ms,rows,status,error
A_journey_01,1,363,20,ok,
A_journey_02,1,309,12,ok,
A_journey_03,1,144,20,ok,
A_journey_04,1,147,14,ok,
A_journey_05,1,148,4,ok,
A_journey_06,1,128,20,ok,
A_journey_07,1,124,20,ok,
A_journey_08,1,123,20,ok,
A_journey_09,1,123,20,ok,
A_journey_10,1,128,20,ok,
A_journey_11,1,122,20,ok,
A_journey_12,1,122,20,ok,
A_journey_13,1,130,20,ok,
A_journey_14,1,134,16,ok,
A_journey_15,1,124,2,ok,
A_journey_16,1,124,20,ok,
A_journey_17,1,157,20,ok,
A_journey_18,1,148,20,ok,
A_journey_19,1,121,20,ok,
A_journey_20,1,125,20,ok,
B1_funnel_24h,1,95,10,ok,
B1_funnel_24h,2,95,10,ok,
B1_funnel_24h,3,91,10,ok,
B2_funnel_48h,1,109,10,ok,
B2_funnel_48h,2,113,10,ok,
B2_funnel_48h,3,110,10,ok,
B3_inflight_24h,1,55,10,ok,
B3_inflight_24h,2,54,10,ok,
B3_inflight_24h,3,54,10,ok,
B4_hourly_throughput_48h,1,34,476,ok,
B4_hourly_throughput_48h,2,77,476,ok,
B4_hourly_throughput_48h,3,77,476,ok,
B5_route_rollup_24h,1,159,40,ok,
B5_route_rollup_24h,2,117,40,ok,
B5_route_rollup_24h,3,116,40,ok,
