test,run,ms,rows,status,error
A_journey_01,1,51,20,ok,
A_journey_02,1,48,20,ok,
A_journey_03,1,53,20,ok,
A_journey_04,1,52,20,ok,
A_journey_05,1,51,20,ok,
A_journey_06,1,51,20,ok,
A_journey_07,1,46,20,ok,
A_journey_08,1,48,20,ok,
A_journey_09,1,48,20,ok,
A_journey_10,1,48,20,ok,
A_journey_11,1,48,20,ok,
A_journey_12,1,47,20,ok,
A_journey_13,1,48,20,ok,
A_journey_14,1,49,20,ok,
A_journey_15,1,50,20,ok,
A_journey_16,1,50,4,ok,
A_journey_17,1,48,20,ok,
A_journey_18,1,48,20,ok,
A_journey_19,1,48,20,ok,
A_journey_20,1,49,20,ok,
B1_funnel_24h,1,53,10,ok,
B1_funnel_24h,2,51,10,ok,
B1_funnel_24h,3,44,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B2_funnel_48h,1,44,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B2_funnel_48h,2,44,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B2_funnel_48h,3,247,10,ok,
B3_inflight_24h,1,38,10,ok,
B3_inflight_24h,2,87,10,ok,
B3_inflight_24h,3,38,10,ok,
B4_hourly_throughput_48h,1,109,473,ok,
B4_hourly_throughput_48h,2,77,473,ok,
B4_hourly_throughput_48h,3,79,473,ok,
B5_route_rollup_24h,1,41,40,ok,
B5_route_rollup_24h,2,39,40,ok,
B5_route_rollup_24h,3,39,40,ok,
