test,run,ms,rows,status,error
A_journey_01,1,63,20,ok,
A_journey_02,1,99,12,ok,
A_journey_03,1,110,20,ok,
A_journey_04,1,93,14,ok,
A_journey_05,1,96,20,ok,
A_journey_06,1,56,18,ok,
A_journey_07,1,50,20,ok,
A_journey_08,1,52,20,ok,
A_journey_09,1,58,20,ok,
A_journey_10,1,82,20,ok,
A_journey_11,1,82,20,ok,
A_journey_12,1,90,20,ok,
A_journey_13,1,60,8,ok,
A_journey_14,1,50,20,ok,
A_journey_15,1,87,20,ok,
A_journey_16,1,101,14,ok,
A_journey_17,1,69,20,ok,
A_journey_18,1,81,20,ok,
A_journey_19,1,82,20,ok,
A_journey_20,1,79,20,ok,
A_journey_21,1,69,20,ok,
A_journey_22,1,68,20,ok,
A_journey_23,1,53,20,ok,
A_journey_24,1,59,20,ok,
A_journey_25,1,57,20,ok,
A_journey_26,1,93,20,ok,
A_journey_27,1,110,10,ok,
A_journey_28,1,53,20,ok,
A_journey_29,1,57,20,ok,
A_journey_30,1,50,18,ok,
A_journey_31,1,68,20,ok,
A_journey_32,1,93,12,ok,
A_journey_33,1,50,20,ok,
A_journey_34,1,50,20,ok,
A_journey_35,1,54,6,ok,
A_journey_36,1,63,20,ok,
A_journey_37,1,91,20,ok,
A_journey_38,1,62,20,ok,
A_journey_39,1,71,20,ok,
A_journey_40,1,53,20,ok,
A_journey_41,1,52,20,ok,
A_journey_42,1,51,20,ok,
A_journey_43,1,59,20,ok,
A_journey_44,1,64,20,ok,
A_journey_45,1,70,20,ok,
A_journey_46,1,61,20,ok,
A_journey_47,1,54,20,ok,
A_journey_48,1,55,20,ok,
A_journey_49,1,52,20,ok,
A_journey_50,1,42,20,ok,
A_journey_51,1,52,20,ok,
A_journey_52,1,52,20,ok,
A_journey_53,1,56,20,ok,
A_journey_54,1,77,20,ok,
A_journey_55,1,76,20,ok,
A_journey_56,1,53,20,ok,
A_journey_57,1,51,20,ok,
A_journey_58,1,53,20,ok,
A_journey_59,1,55,20,ok,
A_journey_60,1,58,20,ok,
A_journey_61,1,49,20,ok,
A_journey_62,1,53,20,ok,
A_journey_63,1,51,20,ok,
A_journey_64,1,51,20,ok,
A_journey_65,1,56,20,ok,
A_journey_66,1,60,20,ok,
A_journey_67,1,72,20,ok,
A_journey_68,1,81,20,ok,
A_journey_69,1,56,20,ok,
A_journey_70,1,69,20,ok,
A_journey_71,1,63,20,ok,
A_journey_72,1,62,20,ok,
A_journey_73,1,62,20,ok,
A_journey_74,1,51,20,ok,
A_journey_75,1,72,20,ok,
A_journey_76,1,60,16,ok,
A_journey_77,1,56,14,ok,
A_journey_78,1,64,12,ok,
A_journey_79,1,77,20,ok,
A_journey_80,1,75,20,ok,
A_journey_81,1,51,20,ok,
A_journey_82,1,89,20,ok,
A_journey_83,1,14,20,ok,
A_journey_84,1,55,20,ok,
A_journey_85,1,57,20,ok,
A_journey_86,1,56,20,ok,
A_journey_87,1,55,20,ok,
A_journey_88,1,56,20,ok,
A_journey_89,1,56,20,ok,
A_journey_90,1,56,18,ok,
A_journey_91,1,55,18,ok,
A_journey_92,1,56,20,ok,
A_journey_93,1,56,20,ok,
A_journey_94,1,57,20,ok,
A_journey_95,1,55,20,ok,
A_journey_96,1,56,20,ok,
A_journey_97,1,56,20,ok,
A_journey_98,1,56,20,ok,
A_journey_99,1,56,20,ok,
A_journey_100,1,52,12,ok,
B1_funnel_24h,1,89,10,ok,
B1_funnel_24h,2,46,10,ok,
B1_funnel_24h,3,47,10,ok,
B2_funnel_48h,1,98,10,ok,
B2_funnel_48h,2,92,10,ok,
B2_funnel_48h,3,91,10,ok,
B3_inflight_24h,1,17,10,ok,
B3_inflight_24h,2,59,10,ok,
B3_inflight_24h,3,69,10,ok,
B4_hourly_throughput_48h,1,83,476,ok,
B4_hourly_throughput_48h,2,83,476,ok,
B4_hourly_throughput_48h,3,85,476,ok,
B5_route_rollup_24h,1,51,40,ok,
B5_route_rollup_24h,2,53,40,ok,
B5_route_rollup_24h,3,51,40,ok,
