unix_ts,phase,cpu_pct,mem_mb
1786253980.6,baseline,0.0,6.5
1786253982.6,baseline,0.0,6.3
1786253984.7,baseline,0.0,6.3
1786253986.7,ingest,113.2,140.2
1786253988.8,ingest,111.5,259.4
1786253990.8,ingest,206.0,838.1
1786253992.9,hosts,28.2,462.6
1786253995.0,query_a,144.0,1639.6
1786253997.0,query_a,153.4,2200.1
1786253999.1,query_a,153.9,2491.1
1786254001.1,settle,143.0,2670.4
1786254003.1,settle,0.0,2670.4
1786254005.2,settle,0.0,2670.4
1786254007.2,settle,0.0,2670.4
1786254009.3,settle,4.5,2669.3
