unix_ts,phase,cpu_pct,mem_mb
1786253842.6,baseline,0.0,6.3
1786253844.7,baseline,0.0,6.2
1786253846.7,baseline,0.0,6.2
1786253848.9,ingest,114.8,147.4
1786253850.9,ingest,109.0,251.6
1786253852.9,ingest,211.1,778.1
1786253855.1,hosts,30.9,545.0
1786253857.0,query_a,150.5,1490.4
1786253859.1,query_a,157.3,1960.7
1786253861.1,query_b,160.8,1987.5
1786253863.1,settle,130.2,2132.5
1786253865.2,settle,0.0,2131.4
1786253867.2,settle,0.0,2131.4
1786253869.3,settle,0.0,2131.4
1786253871.3,settle,0.0,2131.4
