test,run,ms,rows,status,error
A_journey_01,1,94,20,ok,
A_journey_02,1,13,12,ok,
A_journey_03,1,82,20,ok,
A_journey_04,1,12,20,ok,
A_journey_05,1,59,16,ok,
A_journey_06,1,55,20,ok,
A_journey_07,1,53,20,ok,
A_journey_08,1,55,20,ok,
A_journey_09,1,86,20,ok,
A_journey_10,1,41,20,ok,
A_journey_11,1,16,20,ok,
A_journey_12,1,52,20,ok,
A_journey_13,1,52,20,ok,
A_journey_14,1,60,20,ok,
A_journey_15,1,52,18,ok,
A_journey_16,1,58,20,ok,
A_journey_17,1,54,20,ok,
A_journey_18,1,58,20,ok,
A_journey_19,1,58,14,ok,
A_journey_20,1,51,20,ok,
B1_funnel_24h,1,58,10,ok,
B1_funnel_24h,2,60,10,ok,
B1_funnel_24h,3,70,10,ok,
B2_funnel_48h,1,60,10,ok,
B2_funnel_48h,2,59,10,ok,
B2_funnel_48h,3,91,10,ok,
B3_inflight_24h,1,18,10,ok,
B3_inflight_24h,2,92,10,ok,
B3_inflight_24h,3,43,10,ok,
B4_hourly_throughput_48h,1,58,475,ok,
B4_hourly_throughput_48h,2,56,475,ok,
B4_hourly_throughput_48h,3,43,475,ok,
B5_route_rollup_24h,1,62,40,ok,
B5_route_rollup_24h,2,65,40,ok,
B5_route_rollup_24h,3,86,40,ok,
