test,run,ms,rows,status,error
B1_funnel_24h,1,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B1_funnel_24h,2,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B1_funnel_24h,3,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B2_funnel_48h,1,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B2_funnel_48h,2,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B2_funnel_48h,3,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B3_inflight_24h,1,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B3_inflight_24h,2,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B3_inflight_24h,3,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B4_hourly_throughput_48h,1,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B4_hourly_throughput_48h,2,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B4_hourly_throughput_48h,3,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B5_route_rollup_24h,1,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B5_route_rollup_24h,2,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
B5_route_rollup_24h,3,1,,ERROR,"HTTP 400: {""error"":""Error during planning: table 'poc.public.pipeline_events' not found""}"
