test,run,ms,rows,status,error
A_journey_01,1,55,20,ok,
A_journey_02,1,63,16,ok,
A_journey_03,1,88,20,ok,
A_journey_04,1,93,20,ok,
A_journey_05,1,86,20,ok,
A_journey_06,1,113,20,ok,
A_journey_07,1,186,20,ok,
A_journey_08,1,108,20,ok,
A_journey_09,1,77,20,ok,
A_journey_10,1,56,20,ok,
A_journey_11,1,89,20,ok,
A_journey_12,1,107,20,ok,
A_journey_13,1,70,20,ok,
A_journey_14,1,110,16,ok,
A_journey_15,1,61,20,ok,
A_journey_16,1,52,20,ok,
A_journey_17,1,98,20,ok,
A_journey_18,1,61,20,ok,
A_journey_19,1,78,20,ok,
A_journey_20,1,52,20,ok,
B1_funnel_24h,1,151,10,ok,
B1_funnel_24h,2,136,10,ok,
B1_funnel_24h,3,163,10,ok,
B2_funnel_48h,1,189,10,ok,
B2_funnel_48h,2,187,10,ok,
B2_funnel_48h,3,232,10,ok,
B3_inflight_24h,1,140,10,ok,
B3_inflight_24h,2,75,10,ok,
B3_inflight_24h,3,59,10,ok,
B4_hourly_throughput_48h,1,82,476,ok,
B4_hourly_throughput_48h,2,89,476,ok,
B4_hourly_throughput_48h,3,144,476,ok,
B5_route_rollup_24h,1,82,40,ok,
B5_route_rollup_24h,2,153,40,ok,
B5_route_rollup_24h,3,144,40,ok,
