unix_ts,phase,cpu_pct,mem_mb
1786240278.7,baseline,0.0,6.4
1786240280.7,baseline,0.0,6.2
1786240282.7,baseline,0.0,6.2
1786240284.7,ingest,116.1,135.8
1786240286.8,ingest,110.0,246.7
1786240288.8,ingest,219.7,761.3
1786240291.1,hosts,31.1,472.5
1786240292.8,query_a,146.7,1224.1
1786240294.9,query_a,150.9,2064.8
1786240297.0,query_a,156.4,2500.7
1786240299.0,burst,398.0,2604.9
1786240301.0,settle,0.0,2553.4
1786240303.0,settle,0.0,2553.4
1786240305.1,settle,0.0,2553.4
1786240307.1,settle,0.0,2553.4
