test,run,ms,rows,status,error
A_journey_01,1,78,20,ok,
A_journey_02,1,118,12,ok,
A_journey_03,1,128,20,ok,
A_journey_04,1,176,20,ok,
A_journey_05,1,101,20,ok,
A_journey_06,1,74,20,ok,
A_journey_07,1,52,20,ok,
A_journey_08,1,49,20,ok,
A_journey_09,1,67,20,ok,
A_journey_10,1,67,20,ok,
A_journey_11,1,56,20,ok,
A_journey_12,1,78,20,ok,
A_journey_13,1,140,20,ok,
A_journey_14,1,177,20,ok,
A_journey_15,1,168,20,ok,
A_journey_16,1,75,20,ok,
A_journey_17,1,52,4,ok,
A_journey_18,1,54,16,ok,
A_journey_19,1,68,20,ok,
A_journey_20,1,71,20,ok,
A_journey_21,1,113,20,ok,
A_journey_22,1,53,20,ok,
A_journey_23,1,53,20,ok,
A_journey_24,1,146,20,ok,
A_journey_25,1,60,20,ok,
A_journey_26,1,126,20,ok,
A_journey_27,1,56,20,ok,
A_journey_28,1,109,20,ok,
A_journey_29,1,56,20,ok,
A_journey_30,1,131,16,ok,
A_journey_31,1,63,2,ok,
A_journey_32,1,52,2,ok,
A_journey_33,1,51,20,ok,
A_journey_34,1,113,20,ok,
A_journey_35,1,52,12,ok,
A_journey_36,1,54,20,ok,
A_journey_37,1,52,20,ok,
A_journey_38,1,53,20,ok,
A_journey_39,1,52,20,ok,
A_journey_40,1,61,20,ok,
A_journey_41,1,51,20,ok,
A_journey_42,1,54,6,ok,
A_journey_43,1,124,2,ok,
A_journey_44,1,58,20,ok,
A_journey_45,1,53,20,ok,
A_journey_46,1,55,20,ok,
A_journey_47,1,54,20,ok,
A_journey_48,1,51,20,ok,
A_journey_49,1,51,20,ok,
A_journey_50,1,51,16,ok,
A_journey_51,1,71,18,ok,
A_journey_52,1,71,20,ok,
A_journey_53,1,58,20,ok,
A_journey_54,1,60,20,ok,
A_journey_55,1,51,20,ok,
A_journey_56,1,52,20,ok,
A_journey_57,1,52,20,ok,
A_journey_58,1,55,20,ok,
A_journey_59,1,51,14,ok,
A_journey_60,1,56,20,ok,
A_journey_61,1,54,20,ok,
A_journey_62,1,57,20,ok,
A_journey_63,1,55,20,ok,
A_journey_64,1,59,20,ok,
A_journey_65,1,66,20,ok,
A_journey_66,1,10,20,ok,
A_journey_67,1,9,4,ok,
A_journey_68,1,9,18,ok,
A_journey_69,1,9,20,ok,
A_journey_70,1,9,12,ok,
A_journey_71,1,10,20,ok,
A_journey_72,1,4,,ERROR,"HTTP 400: {""error"":""SanityCheckPlan\ncaused by\nError during planning: Plan: [\""SortExec: expr=[time@0 ASC NULLS LAST], preserve_partitioning=[false]\"", \""  FilterExec: product_id@1 = p00231-00331 AND time@0 >= 1786068275226149507, projection=[time@0, step@2, event@5, route@3, worker_ip@4, duration_s@6]\"", \"""
A_journey_73,1,3,,ERROR,"HTTP 400: {""error"":""SanityCheckPlan\ncaused by\nError during planning: Plan: [\""SortExec: expr=[time@0 ASC NULLS LAST], preserve_partitioning=[false]\"", \""  FilterExec: product_id@1 = p00231-00379 AND time@0 >= 1786068275229550122, projection=[time@0, step@2, event@5, route@3, worker_ip@4, duration_s@6]\"", \"""
A_journey_74,1,2,,ERROR,"HTTP 400: {""error"":""SanityCheckPlan\ncaused by\nError during planning: Plan: [\""SortExec: expr=[time@0 ASC NULLS LAST], preserve_partitioning=[false]\"", \""  FilterExec: product_id@1 = p00231-00449 AND time@0 >= 1786068275232323559, projection=[time@0, step@2, event@5, route@3, worker_ip@4, duration_s@6]\"", \"""
A_journey_75,1,2,,ERROR,"HTTP 400: {""error"":""SanityCheckPlan\ncaused by\nError during planning: Plan: [\""SortExec: expr=[time@0 ASC NULLS LAST], preserve_partitioning=[false]\"", \""  FilterExec: product_id@1 = p00232-00055 AND time@0 >= 1786068275234460203, projection=[time@0, step@2, event@5, route@3, worker_ip@4, duration_s@6]\"", \"""
A_journey_76,1,9,20,ok,
A_journey_77,1,9,20,ok,
A_journey_78,1,9,18,ok,
A_journey_79,1,9,20,ok,
A_journey_80,1,8,20,ok,
A_journey_81,1,9,20,ok,
A_journey_82,1,8,20,ok,
A_journey_83,1,8,8,ok,
A_journey_84,1,9,20,ok,
A_journey_85,1,8,20,ok,
A_journey_86,1,8,20,ok,
A_journey_87,1,8,20,ok,
A_journey_88,1,8,20,ok,
A_journey_89,1,9,20,ok,
A_journey_90,1,9,20,ok,
A_journey_91,1,8,20,ok,
A_journey_92,1,9,20,ok,
A_journey_93,1,8,20,ok,
A_journey_94,1,8,20,ok,
A_journey_95,1,8,20,ok,
A_journey_96,1,8,20,ok,
A_journey_97,1,8,20,ok,
A_journey_98,1,8,20,ok,
A_journey_99,1,9,2,ok,
A_journey_100,1,9,20,ok,
B1_funnel_24h,1,94,10,ok,
B1_funnel_24h,2,93,10,ok,
B1_funnel_24h,3,93,10,ok,
B2_funnel_48h,1,183,10,ok,
B2_funnel_48h,2,187,10,ok,
B2_funnel_48h,3,172,10,ok,
B3_inflight_24h,1,35,10,ok,
B3_inflight_24h,2,34,10,ok,
B3_inflight_24h,3,34,10,ok,
B4_hourly_throughput_48h,1,44,474,ok,
B4_hourly_throughput_48h,2,45,474,ok,
B4_hourly_throughput_48h,3,45,474,ok,
B5_route_rollup_24h,1,156,40,ok,
B5_route_rollup_24h,2,155,40,ok,
B5_route_rollup_24h,3,154,40,ok,
