unix_ts,phase,cpu_pct,mem_mb
1786241057.5,baseline,0.0,6.2
1786241059.5,baseline,0.0,6.2
1786241061.7,ingest,12.5,52.7
1786241063.7,ingest,109.6,194.3
1786241065.7,ingest,170.6,664.8
1786241067.8,ingest,101.0,433.8
1786241069.9,hosts,65.7,522.4
1786241071.9,query_a,147.4,2163.6
1786241073.9,query_a,165.5,3160.0
1786241076.0,query_b,292.6,3317.9
1786241078.0,settle,88.5,3172.9
1786241080.1,settle,0.0,3172.9
1786241082.1,settle,0.0,3172.9
1786241084.1,settle,0.0,3172.9
1786241086.2,settle,1.7,3171.8
