test,run,ms,rows,status,error
A_journey_01,1,14,20,ok,
A_journey_02,1,6,20,ok,
A_journey_03,1,4,20,ok,
A_journey_04,1,4,20,ok,
A_journey_05,1,5,12,ok,
A_journey_06,1,4,4,ok,
A_journey_07,1,3,20,ok,
A_journey_08,1,4,20,ok,
A_journey_09,1,5,20,ok,
A_journey_10,1,5,20,ok,
A_journey_11,1,4,20,ok,
A_journey_12,1,4,20,ok,
A_journey_13,1,5,20,ok,
A_journey_14,1,3,20,ok,
A_journey_15,1,3,20,ok,
A_journey_16,1,4,20,ok,
A_journey_17,1,3,20,ok,
A_journey_18,1,3,20,ok,
A_journey_19,1,3,20,ok,
A_journey_20,1,3,20,ok,
B1_funnel_24h,1,15,10,ok,
B1_funnel_24h,2,9,10,ok,
B1_funnel_24h,3,11,10,ok,
B2_funnel_48h,1,11,10,ok,
B2_funnel_48h,2,11,10,ok,
B2_funnel_48h,3,11,10,ok,
B3_inflight_24h,1,11,10,ok,
B3_inflight_24h,2,7,10,ok,
B3_inflight_24h,3,6,10,ok,
B4_hourly_throughput_48h,1,8,474,ok,
B4_hourly_throughput_48h,2,8,474,ok,
B4_hourly_throughput_48h,3,7,474,ok,
B5_route_rollup_24h,1,8,40,ok,
B5_route_rollup_24h,2,7,40,ok,
B5_route_rollup_24h,3,8,40,ok,
