unix_ts,phase,cpu_pct,mem_mb
1786244025.4,baseline,0.0,6.2
1786244027.5,baseline,0.0,6.2
1786244029.5,baseline,0.0,6.2
1786244031.6,ingest,115.2,149.1
1786244033.6,ingest,125.6,263.7
1786244035.6,ingest,217.0,801.2
1786244037.7,hosts,32.4,441.6
1786244039.7,query_a,143.8,1293.9
1786244041.8,query_a,150.9,1705.1
1786244043.8,query_a,147.0,1941.3
1786244045.9,settle,170.1,2009.0
1786244047.9,settle,0.0,2009.0
1786244050.0,settle,0.0,2009.0
1786244052.1,settle,0.0,2009.0
1786244054.1,settle,0.0,2009.0
