unix_ts,phase,cpu_pct,mem_mb
1786244095.1,baseline,0.0,6.2
1786244097.2,baseline,0.0,6.2
1786244099.2,baseline,0.0,6.2
1786244101.3,ingest,32.6,108.7
1786244103.3,ingest,20.1,132.9
1786244105.3,ingest,15.4,224.1
1786244107.4,ingest,13.8,243.3
1786244109.5,ingest,19.3,267.2
1786244111.5,ingest,19.4,221.4
1786244113.6,ingest,119.5,379.8
1786244115.6,ingest,201.3,656.4
1786244117.7,hosts,115.8,675.0
1786244119.7,query_a,132.1,1723.4
1786244121.8,query_a,131.1,1897.3
1786244123.8,query_a,114.9,1989.6
1786244125.8,storage,211.6,2093.8
1786244127.9,settle,0.0,2109.9
1786244129.9,settle,0.0,2108.8
1786244132.0,settle,0.0,2108.8
1786244134.0,settle,4.6,2108.8
