unix_ts,phase,cpu_pct,mem_mb
1786246536.7,baseline,0.0,6.3
1786246538.8,baseline,0.0,6.2
1786246540.8,baseline,0.0,6.2
1786246542.9,ingest,111.6,143.6
1786246544.9,ingest,120.8,265.7
1786246547.0,ingest,164.2,395.4
1786246549.1,hosts,49.2,492.4
1786246551.1,query_a,151.5,1464.6
1786246553.2,query_a,155.7,2060.5
1786246555.2,query_b,212.4,2155.0
1786246557.2,storage,205.7,2072.3
1786246559.3,settle,0.0,2108.8
1786246561.3,settle,0.0,2108.8
1786246563.4,settle,0.0,2108.8
1786246565.4,settle,0.0,2108.8
