unix_ts,phase,cpu_pct,mem_mb
1786245795.4,baseline,0.0,7.0
1786245797.4,baseline,0.0,6.2
1786245799.5,baseline,0.0,6.2
1786245801.6,ingest,110.9,138.3
1786245803.6,ingest,106.2,247.4
1786245805.6,ingest,146.4,362.2
1786245807.9,hosts,22.9,466.8
1786245809.7,query_a,154.5,1464.6
1786245811.8,query_a,167.2,2180.8
1786245813.8,query_a,165.4,2691.9
1786245815.8,burst,240.0,2738.0
1786245817.9,settle,0.0,2768.1
1786245819.9,settle,0.0,2768.1
1786245822.0,settle,0.0,2767.0
1786245824.1,settle,0.0,2767.0
1786245826.1,settle,0.0,2767.0
