unix_ts,phase,cpu_pct,mem_mb
1786247181.2,baseline,0.0,6.7
1786247183.3,baseline,0.0,6.2
1786247185.3,baseline,0.0,6.2
1786247187.3,ingest,122.1,157.0
1786247189.4,ingest,117.7,289.7
1786247191.4,ingest,202.2,691.4
1786247193.5,hosts,69.7,441.0
1786247195.6,query_a,146.4,1506.5
1786247197.6,query_a,149.8,1988.6
1786247199.7,query_a,160.0,1993.9
1786247201.7,settle,74.3,1974.6
1786247203.8,settle,0.0,1974.6
1786247205.8,settle,0.0,1974.6
1786247207.8,settle,0.0,1974.6
1786247209.9,settle,6.1,1975.7
