test,run,ms,rows,status,error
A_journey_01,1,523,20,ok,
A_journey_02,1,442,20,ok,
A_journey_03,1,513,20,ok,
A_journey_04,1,544,20,ok,
A_journey_05,1,521,4,ok,
A_journey_06,1,528,20,ok,
A_journey_07,1,494,20,ok,
A_journey_08,1,548,20,ok,
A_journey_09,1,424,16,ok,
A_journey_10,1,531,20,ok,
A_journey_11,1,503,0,ok,
A_journey_12,1,443,0,ok,
A_journey_13,1,335,0,ok,
A_journey_14,1,366,0,ok,
A_journey_15,1,381,0,ok,
A_journey_16,1,468,0,ok,
A_journey_17,1,920,20,ok,
A_journey_18,1,789,20,ok,
A_journey_19,1,929,20,ok,
A_journey_20,1,892,4,ok,
B1_funnel_24h,1,1221,10,ok,
B1_funnel_24h,2,1118,10,ok,
B1_funnel_24h,3,1096,10,ok,
B2_funnel_48h,1,1592,10,ok,
B2_funnel_48h,2,1281,10,ok,
B2_funnel_48h,3,1312,10,ok,
B3_inflight_24h,1,1163,10,ok,
B3_inflight_24h,2,1107,10,ok,
B3_inflight_24h,3,1054,10,ok,
B4_hourly_throughput_48h,1,986,475,ok,
B4_hourly_throughput_48h,2,988,475,ok,
B4_hourly_throughput_48h,3,1101,475,ok,
B5_route_rollup_24h,1,1034,40,ok,
B5_route_rollup_24h,2,1020,40,ok,
B5_route_rollup_24h,3,1013,40,ok,
