unix_ts,phase,cpu_pct,mem_mb
1786198313.6,baseline,0.0,6.9
1786198315.6,baseline,0.0,6.9
1786198317.6,baseline,0.0,6.9
1786198319.6,ingest,123.0,139.6
1786198321.7,ingest,122.3,258.1
1786198323.7,ingest,213.6,768.6
1786198325.7,hosts,43.6,483.0
1786198327.7,query_a,130.2,1145.7
1786198329.7,query_a,79.8,1986.4
1786198331.8,query_a,72.5,2685.4
1786198333.8,query_a,124.0,3204.0
1786198335.8,query_a,62.5,3398.4
1786198337.8,query_a,61.3,3724.8
1786198339.9,query_b,232.4,4160.7
1786198342.0,query_b,255.2,4668.6
1786198344.0,query_b,182.8,5221.6
1786198346.0,query_b,373.0,5711.2
1786198348.0,query_b,134.0,6399.5
1786198350.0,query_b,281.0,6945.0
1786198352.1,query_b,191.2,7478.6
1786198354.1,query_b,209.8,7710.5
1786198356.1,burst,106.4,7850.1
1786198358.1,storage,45.6,8045.5
1786198360.2,storage,28.1,8272.1
1786198362.2,settle,20.0,8532.0
1786198364.2,settle,1.1,8532.0
1786198366.2,settle,0.1,8532.0
1786198368.2,settle,0.0,8532.0
1786198370.3,settle,0.0,8532.0
