test,run,ms,rows,status,error
A_journey_01,1,608,20,ok,
A_journey_02,1,614,20,ok,
A_journey_03,1,590,20,ok,
A_journey_04,1,562,20,ok,
A_journey_05,1,590,20,ok,
A_journey_06,1,541,20,ok,
A_journey_07,1,563,20,ok,
A_journey_08,1,433,20,ok,
A_journey_09,1,417,20,ok,
A_journey_10,1,211,20,ok,
A_journey_11,1,210,20,ok,
A_journey_12,1,200,20,ok,
A_journey_13,1,210,20,ok,
A_journey_14,1,199,20,ok,
A_journey_15,1,201,20,ok,
A_journey_16,1,200,20,ok,
A_journey_17,1,200,20,ok,
A_journey_18,1,205,20,ok,
A_journey_19,1,196,20,ok,
A_journey_20,1,192,20,ok,
B1_funnel_24h,1,1708,10,ok,
B1_funnel_24h,2,1679,10,ok,
B1_funnel_24h,3,1700,10,ok,
B2_funnel_48h,1,4095,10,ok,
B2_funnel_48h,2,3931,10,ok,
B2_funnel_48h,3,4149,10,ok,
B3_inflight_24h,1,426,10,ok,
B3_inflight_24h,2,463,10,ok,
B3_inflight_24h,3,502,10,ok,
B4_hourly_throughput_48h,1,677,475,ok,
B4_hourly_throughput_48h,2,649,475,ok,
B4_hourly_throughput_48h,3,676,475,ok,
B5_route_rollup_24h,1,1419,40,ok,
B5_route_rollup_24h,2,1645,40,ok,
B5_route_rollup_24h,3,1218,40,ok,
