unix_ts,phase,cpu_pct,mem_mb
1786216195.1,baseline,0.0,6.1
1786216197.1,baseline,0.0,6.1
1786216199.2,baseline,0.0,6.3
1786216201.2,ingest,170.2,199.4
1786216203.2,ingest,179.6,378.7
1786216205.2,ingest,175.6,555.4
1786216207.3,ingest,169.1,718.0
1786216209.4,ingest,281.6,1913.4
1786216211.4,ingest,270.3,2049.8
1786216213.4,ingest,277.0,2274.2
1786216215.4,ingest,261.9,1025.4
1786216217.4,ingest,170.0,1158.6
1786216219.5,ingest,276.3,2585.6
1786216221.5,ingest,273.5,2781.0
1786216223.5,ingest,129.4,2816.4
1786216225.5,ingest,66.9,2313.9
1786216227.6,ingest,31.5,2323.6
1786216229.6,ingest,28.3,2334.3
1786216231.6,ingest,31.2,2344.0
1786216233.6,ingest,155.5,1614.9
1786216235.6,ingest,150.3,1663.2
1786216237.7,ingest,45.1,1519.3
1786216239.7,ingest,70.2,1238.0
1786216241.7,ingest,30.7,1165.0
1786216243.7,ingest,34.4,990.1
1786216245.8,ingest,87.8,1062.2
1786216247.9,ingest,75.2,1246.6
1786216249.9,ingest,38.1,1255.2
1786216251.9,ingest,30.9,1090.9
1786216253.9,ingest,62.9,1174.7
1786216255.9,ingest,47.9,1208.0
1786216258.0,ingest,74.1,1504.3
1786216260.0,ingest,69.8,1403.4
1786216262.0,ingest,37.0,1419.5
1786216264.0,ingest,47.3,1219.8
1786216266.0,ingest,49.7,1221.9
1786216268.1,ingest,89.2,1666.4
1786216270.1,ingest,60.0,1576.3
1786216272.1,ingest,36.5,1577.3
1786216274.1,ingest,130.3,1446.3
1786216276.1,ingest,93.5,1456.0
1786216278.2,ingest,120.4,1628.9
1786216280.3,ingest,37.5,1501.1
1786216282.3,ingest,35.9,1504.3
1786216284.3,ingest,49.4,1563.4
1786216286.3,ingest,46.9,1585.9
1786216288.4,ingest,115.7,1734.1
1786216290.4,ingest,37.8,1590.2
1786216292.4,ingest,38.0,1522.6
1786216294.4,ingest,104.8,1421.6
1786216296.4,ingest,171.6,1572.0
1786216298.5,ingest,256.1,2382.6
1786216300.8,hosts,223.5,2533.0
1786216302.7,hosts,132.2,1734.1
1786216304.6,hosts,134.1,1785.6
1786216306.7,hosts,148.6,1887.6
1786216308.7,hosts,135.6,2153.9
1786216310.6,hosts,98.5,1683.6
1786216312.6,hosts,337.9,2068.0
1786216314.6,query_a,105.0,2845.4
1786216316.7,query_a,99.8,3253.4
1786216318.7,query_a,194.5,3476.8
1786216320.7,query_a,99.2,2675.8
1786216322.7,query_b,1774.4,3644.3
1786216324.8,query_b,1299.7,4278.9
1786216326.8,query_b,597.1,4870.5
1786216328.9,query_b,1695.8,5507.2
1786216330.9,query_b,511.6,5754.2
1786216333.0,query_b,1722.4,5981.8
1786216335.0,query_b,308.1,6437.1
1786216337.1,query_b,1627.4,6603.5
1786216339.2,query_b,185.9,7383.0
1786216341.2,query_b,258.9,8486.9
1786216343.2,query_b,344.8,8428.9
1786216345.2,query_b,356.4,8461.1
1786216347.3,burst,125.2,8516.9
1786216349.5,storage,234.3,8268.9
1786216351.5,storage,96.5,8374.1
1786216353.5,settle,0.0,8345.1
1786216355.5,settle,0.0,8345.1
1786216357.6,settle,0.0,8345.1
1786216359.6,settle,103.2,4674.0
