test,run,ms,rows,status,error
A_journey_01,1,1399,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_02,1,964,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_03,1,897,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_04,1,832,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_05,1,861,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_06,1,830,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_07,1,842,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_08,1,820,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_09,1,799,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_10,1,816,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
A_journey_11,1,808,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080807/01786175999997840411-000090.parquet: Resources exhausted: Failed to allocate additional 439.8 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 251.7 KB remain available for "
