unix_ts,phase,cpu_pct,mem_mb
1786200978.8,baseline,0.0,6.6
1786200980.9,baseline,0.0,6.6
1786200982.9,baseline,0.0,6.6
1786200985.0,ingest,198.9,215.8
1786200986.9,ingest,180.6,399.2
1786200989.0,ingest,282.6,1242.3
1786200991.0,ingest,226.2,1313.2
1786200993.1,ingest,181.4,1038.6
1786200995.1,ingest,182.7,1185.4
1786200997.1,ingest,175.8,1363.7
1786200999.1,ingest,294.5,2886.2
1786201001.1,ingest,291.9,3051.6
1786201003.2,ingest,279.2,3185.8
1786201005.2,ingest,291.4,3366.2
1786201007.2,ingest,84.0,2812.1
1786201009.2,ingest,64.3,2811.1
1786201011.2,ingest,93.1,2735.9
1786201013.3,ingest,140.6,2767.0
1786201015.3,ingest,139.3,2857.2
1786201017.3,ingest,55.3,2439.5
1786201019.3,ingest,47.7,2552.3
1786201021.3,ingest,203.4,2657.5
1786201023.4,ingest,287.0,2158.2
1786201025.4,ingest,219.1,1829.7
1786201027.4,ingest,198.3,2275.3
1786201029.5,ingest,283.6,2713.3
1786201031.5,ingest,284.4,2584.5
1786201033.6,ingest,240.8,2790.7
1786201035.6,ingest,189.9,2399.8
1786201037.6,ingest,222.4,2983.9
1786201039.8,hosts,225.1,3962.1
1786201042.0,hosts,142.3,3980.4
1786201043.7,hosts,126.9,4015.8
1786201045.8,hosts,130.5,3480.0
1786201047.7,hosts,106.1,3491.8
1786201049.7,hosts,111.4,2159.3
1786201051.8,hosts,241.9,2439.5
1786201053.8,hosts,265.2,2702.6
1786201055.8,query_a,245.9,3223.4
1786201057.8,query_a,52.0,3169.7
1786201059.8,query_a,37.1,3366.2
1786201061.9,query_a,27.1,3365.1
1786201063.9,query_a,28.0,3366.2
1786201065.9,query_a,28.1,3283.5
1786201067.9,query_a,75.0,3286.7
1786201069.9,query_a,104.7,2959.2
1786201072.0,query_b,27.7,2959.2
1786201074.0,query_b,28.3,2959.2
1786201076.0,query_b,28.1,2960.3
1786201078.0,query_b,28.2,2959.2
1786201080.0,query_b,47.9,3625.0
1786201082.1,query_b,28.1,3965.3
1786201084.1,query_b,27.1,3993.2
1786201086.1,storage,39.2,4474.3
1786201088.1,storage,60.3,4869.4
1786201090.1,settle,0.0,5194.8
1786201092.2,settle,0.0,5194.8
1786201094.2,settle,0.0,5194.8
1786201096.2,settle,0.0,5132.5
1786201098.2,settle,74.0,5253.8
