test,run,ms,rows,status,error
A_journey_01,1,1192,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_02,1,1202,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_03,1,796,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_04,1,857,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_05,1,780,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_06,1,728,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_07,1,769,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_08,1,788,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_09,1,789,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
A_journey_10,1,726,,ERROR,"HTTP 400: {""error"":""Execution error: query memory budget exceeded loading poc/pipeline_events/data/2026080803/01786161599996798091-000084.parquet: Resources exhausted: Failed to allocate additional 428.2 KB for lazy-table-load with 3.0 GB already allocated for this reservation - 398.6 KB remain available for "
