unix_ts,phase,cpu_pct,mem_mb
1786213580.2,baseline,0.0,6.1
1786213582.2,baseline,0.0,6.1
1786213584.2,baseline,2.0,6.3
1786213586.2,ingest,183.7,224.1
1786213588.3,ingest,174.9,407.6
1786213590.3,ingest,177.2,577.1
1786213592.3,ingest,182.6,754.3
1786213594.3,ingest,231.2,1720.1
1786213596.4,ingest,278.1,2348.3
1786213598.4,ingest,279.2,2501.8
1786213600.4,ingest,285.0,2684.4
1786213602.4,ingest,85.6,2204.4
1786213604.5,ingest,42.0,2220.5
1786213606.5,ingest,46.9,2247.3
1786213608.6,ingest,40.3,2269.9
1786213610.6,ingest,37.6,1971.4
1786213612.6,ingest,227.9,2076.6
1786213614.6,ingest,275.7,2315.0
1786213616.7,ingest,279.4,2422.4
1786213618.7,ingest,279.7,2910.9
1786213620.7,ingest,234.8,2290.3
1786213622.7,ingest,305.6,2541.5
1786213624.7,ingest,282.7,2752.0
1786213626.8,ingest,280.3,2891.6
1786213628.8,ingest,290.2,3070.9
1786213630.8,ingest,163.4,2556.6
1786213632.8,ingest,59.1,1698.7
1786213634.9,ingest,274.8,2567.3
1786213637.0,ingest,277.2,2738.0
1786213639.0,ingest,273.6,2895.9
1786213641.1,hosts,131.0,2454.6
1786213643.1,hosts,89.8,1379.8
1786213645.1,hosts,123.9,1549.4
1786213647.3,hosts,111.0,1580.5
1786213649.2,hosts,137.1,2137.8
1786213651.1,hosts,268.5,2304.2
1786213653.1,hosts,107.3,2088.4
1786213655.1,hosts,62.4,2129.2
1786213657.2,hosts,62.8,2178.6
1786213659.2,hosts,61.8,1735.2
1786213661.2,hosts,75.5,1356.1
1786213663.2,hosts,101.3,1378.7
1786213665.3,query_a,76.7,1620.3
1786213667.3,query_a,110.3,2011.1
1786213669.3,query_a,59.9,2266.7
1786213671.3,query_a,12.1,2386.9
1786213673.3,query_a,42.5,2719.8
1786213675.4,query_a,13.4,2380.5
1786213677.4,query_a,77.5,2720.9
1786213679.4,query_a,50.7,3014.0
1786213681.5,query_a,49.1,3322.2
1786213683.5,query_a,46.7,3681.9
1786213685.5,query_a,71.4,3490.7
1786213687.6,query_a,143.2,3527.2
1786213689.6,query_a,109.0,3640.0
1786213691.6,query_a,90.1,3714.1
1786213693.6,query_a,50.0,3960.0
1786213695.6,query_a,67.1,4112.4
1786213697.7,query_a,53.7,4204.8
1786213699.7,query_a,10.9,4428.1
1786213701.7,query_a,63.8,4729.8
1786213703.7,query_a,15.1,4401.3
1786213705.8,query_a,63.8,4708.4
1786213707.8,query_a,17.7,4479.7
1786213709.8,query_a,59.6,4710.5
1786213711.8,query_a,29.6,4491.5
1786213713.8,query_a,62.5,4830.8
1786213715.9,query_a,126.8,3881.6
1786213717.9,query_a,193.5,3631.4
1786213719.9,query_a,106.7,3573.4
1786213722.0,query_a,62.9,4106.0
1786213724.0,query_a,45.1,3498.3
1786213726.0,query_a,59.8,4013.6
1786213728.1,query_a,45.7,4143.6
1786213730.1,query_a,62.7,4641.8
1786213732.1,query_a,105.3,4836.1
1786213734.1,query_a,61.9,5123.9
1786213736.2,query_a,109.4,5407.4
1786213738.2,query_a,52.2,5408.4
1786213740.2,query_b,116.8,5416.0
1786213742.2,query_b,638.0,6112.8
1786213744.2,query_b,73.1,5635.0
1786213746.4,query_b,1461.9,5933.5
1786213748.6,query_b,139.1,6349.0
1786213750.6,query_b,1776.2,6280.3
1786213752.6,query_b,105.3,6442.5
1786213754.6,query_b,53.7,6442.5
1786213756.7,query_b,848.9,6425.3
1786213758.8,query_b,1441.6,6106.4
1786213760.8,query_b,52.5,6442.5
1786213762.8,query_b,87.9,6442.5
1786213764.9,query_b,1239.4,6252.4
1786213767.0,query_b,191.4,6290.0
1786213769.1,query_b,58.2,6442.5
1786213771.1,query_b,300.0,6442.5
1786213773.1,query_b,1494.1,6209.4
1786213775.1,query_b,218.8,6433.9
1786213777.2,query_b,114.1,6442.5
1786213779.2,query_b,117.4,6430.6
1786213781.2,query_b,35.1,6442.5
1786213783.2,query_b,130.3,6409.2
1786213785.2,query_b,34.1,5183.0
1786213787.3,query_b,25.3,5067.0
1786213789.3,query_b,152.2,4911.3
1786213791.3,query_b,374.3,4943.5
1786213793.3,query_b,55.8,5379.4
1786213795.3,query_b,54.5,5530.8
1786213797.5,burst,132.5,5457.8
1786213799.5,burst,632.0,5762.8
1786213801.5,storage,452.6,4924.2
1786213803.5,storage,13.4,5099.2
1786213805.5,storage,14.3,5114.2
1786213807.6,settle,10.3,5234.5
1786213809.6,settle,0.0,5234.5
1786213811.6,settle,2.7,4468.9
1786213813.6,settle,0.3,4402.3
1786213815.6,settle,1.7,4402.3
