test,run,ms,rows,status,error
A_journey_01,1,5778,20,ok,
A_journey_02,1,5761,12,ok,
A_journey_03,1,5231,20,ok,
A_journey_04,1,5281,20,ok,
A_journey_05,1,4978,20,ok,
A_journey_06,1,4920,20,ok,
A_journey_07,1,4932,20,ok,
A_journey_08,1,4587,20,ok,
A_journey_09,1,5024,20,ok,
A_journey_10,1,5039,20,ok,
A_journey_11,1,4610,8,ok,
A_journey_12,1,5011,20,ok,
A_journey_13,1,5007,18,ok,
A_journey_14,1,4989,20,ok,
A_journey_15,1,5094,10,ok,
A_journey_16,1,5015,16,ok,
A_journey_17,1,4709,20,ok,
A_journey_18,1,5009,20,ok,
A_journey_19,1,5006,20,ok,
A_journey_20,1,4896,20,ok,
B1_funnel_24h,1,4386,10,ok,
B1_funnel_24h,2,4318,10,ok,
B1_funnel_24h,3,3838,10,ok,
B2_funnel_48h,1,8368,10,ok,
B2_funnel_48h,2,10093,10,ok,
B2_funnel_48h,3,4211,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))"
B3_inflight_24h,1,3,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))"
B3_inflight_24h,2,15,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None)))"
B3_inflight_24h,3,5,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))"
B4_hourly_throughput_48h,1,2,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))"
B4_hourly_throughput_48h,2,24,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None)))"
B4_hourly_throughput_48h,3,15,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None)))"
B5_route_rollup_24h,1,15,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None)))"
B5_route_rollup_24h,2,15,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None)))"
B5_route_rollup_24h,3,2,,ERROR,"ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))"
