unix_ts,phase,cpu_pct,mem_mb
1786213861.7,query_a,60.0,4384.1
1786213863.7,query_a,62.6,4896.3
1786213865.7,query_a,62.8,5412.7
1786213867.8,query_a,152.9,5840.1
1786213869.8,query_a,63.5,6364.1
1786213871.8,query_a,64.9,6442.5
1786213873.8,query_a,50.8,6176.2
1786213875.9,query_a,59.0,6185.8
1786213877.9,query_a,163.6,6196.6
1786213879.9,query_a,56.6,6004.4
1786213881.9,query_a,58.7,6361.9
1786213883.9,query_a,162.5,6421.0
1786213886.0,query_a,58.9,6422.0
1786213888.0,query_a,59.5,6442.5
1786213890.0,query_a,56.1,6392.0
1786213892.0,query_a,58.0,6395.2
1786213894.1,query_a,53.0,6403.8
1786213896.1,query_a,58.2,6401.6
1786213898.2,query_a,159.5,6404.9
1786213900.2,query_a,59.8,6402.7
1786213902.2,query_a,58.5,6402.7
1786213904.2,query_a,54.3,6403.8
1786213906.3,query_a,59.2,6402.7
1786213908.3,query_a,164.8,6385.5
1786213910.3,query_a,56.3,6384.5
1786213912.3,query_a,57.7,6385.5
1786213914.3,query_a,54.1,6386.6
1786213916.4,query_a,58.2,6386.6
1786213918.4,query_a,53.4,6386.6
1786213920.4,query_a,56.0,6386.6
1786213922.4,query_a,162.3,6388.8
1786213924.4,query_a,55.0,6387.7
1786213926.5,query_a,58.5,6387.7
1786213928.5,query_a,52.7,6385.5
1786213930.5,query_a,54.6,6384.5
1786213932.5,query_a,165.8,6407.0
1786213934.5,query_a,55.7,6405.9
1786213936.6,query_a,59.0,6405.9
1786213938.6,query_a,52.7,6396.3
1786213940.7,query_a,56.4,6395.2
1786213942.7,query_a,150.9,6402.7
1786213944.7,query_a,56.0,6401.6
1786213946.7,query_a,58.6,6401.6
1786213948.8,query_a,55.2,6401.6
1786213950.8,query_a,55.9,6401.6
1786213952.8,query_a,163.2,6403.8
1786213954.8,query_a,54.6,6402.7
1786213956.9,query_a,60.6,6433.9
1786213958.9,query_a,56.9,6384.5
1786213960.9,query_a,57.8,6385.5
1786213962.9,query_b,153.2,6385.5
1786213964.9,query_b,559.0,6425.3
1786213967.2,query_b,445.6,6442.5
1786213969.2,query_b,477.8,6438.2
1786213971.2,query_b,1032.4,6182.6
1786213973.2,query_b,630.0,6425.3
1786213975.2,query_b,618.7,6284.6
1786213977.3,query_b,55.2,6442.5
1786213979.4,query_b,211.5,6433.9
1786213981.3,query_b,801.9,6383.4
1786213983.4,query_b,1063.8,6312.5
1786213985.4,query_b,57.5,6442.5
1786213987.5,query_b,55.6,6434.9
1786213989.5,query_b,228.4,6432.8
1786213991.5,query_b,722.0,6426.3
1786213993.5,query_b,1055.9,6077.4
1786213995.5,query_b,51.8,6442.5
1786213997.7,settle,0.0,7.8
1786213999.7,settle,0.0,35.4
1786214001.7,settle,0.0,35.4
1786214003.8,settle,0.0,35.4
1786214005.8,settle,0.0,35.4
