test,run,ms,rows,status,error
A_journey_01,1,1049,20,ok,
A_journey_02,1,898,20,ok,
A_journey_03,1,1050,20,ok,
A_journey_04,1,1006,20,ok,
A_journey_05,1,1046,6,ok,
A_journey_06,1,997,20,ok,
A_journey_07,1,1034,20,ok,
A_journey_08,1,995,2,ok,
A_journey_09,1,1026,20,ok,
A_journey_10,1,1021,20,ok,
A_journey_11,1,1023,20,ok,
A_journey_12,1,1009,8,ok,
A_journey_13,1,1038,20,ok,
A_journey_14,1,1004,20,ok,
A_journey_15,1,1034,20,ok,
A_journey_16,1,998,20,ok,
A_journey_17,1,1023,14,ok,
A_journey_18,1,849,20,ok,
A_journey_19,1,873,20,ok,
A_journey_20,1,1005,20,ok,
B1_funnel_24h,1,2904,10,ok,
B1_funnel_24h,2,2899,10,ok,
B1_funnel_24h,3,2883,10,ok,
B2_funnel_48h,1,6223,10,ok,
B2_funnel_48h,2,5958,10,ok,
B2_funnel_48h,3,6117,10,ok,
B3_inflight_24h,1,620,10,ok,
B3_inflight_24h,2,572,10,ok,
B3_inflight_24h,3,624,10,ok,
B4_hourly_throughput_48h,1,848,491,ok,
B4_hourly_throughput_48h,2,726,491,ok,
B4_hourly_throughput_48h,3,863,491,ok,
B5_route_rollup_24h,1,1826,40,ok,
B5_route_rollup_24h,2,1930,40,ok,
B5_route_rollup_24h,3,1856,40,ok,
