unix_ts,phase,cpu_pct,mem_mb
1786216496.2,query_a,108.7,4793.2
1786216498.2,query_a,99.3,5176.5
1786216500.3,query_a,101.9,5234.5
1786216502.3,query_a,99.6,5234.5
1786216504.3,query_a,99.6,5234.5
1786216506.3,query_a,99.5,5166.8
1786216508.4,query_a,99.8,5167.9
1786216510.4,query_a,101.3,5167.9
1786216512.4,query_a,99.6,5167.9
1786216514.4,query_a,100.1,5167.9
1786216516.4,query_b,99.6,5302.1
1786216518.6,query_b,1514.5,5406.3
1786216520.6,query_b,1295.5,5600.6
1786216522.6,query_b,397.4,5912.0
1786216524.6,query_b,813.1,5984.0
1786216526.6,query_b,231.1,6343.7
1786216528.8,query_b,1556.4,6324.3
1786216531.0,query_b,355.9,6534.8
1786216533.0,query_b,423.2,6855.8
1786216535.1,query_b,1669.0,6785.0
1786216537.1,query_b,194.2,7020.1
1786216539.2,query_b,580.3,7301.4
1786216541.2,query_b,1898.0,7275.7
1786216543.2,query_b,208.4,7421.7
1786216545.2,query_b,198.3,7816.8
1786216547.2,query_b,197.8,8306.5
1786216549.3,query_b,101.7,8363.4
1786216551.4,query_b,101.3,8277.5
1786216553.4,settle,0.3,6454.3
1786216555.4,settle,0.4,6137.5
1786216557.4,settle,0.3,5677.9
1786216559.5,settle,0.0,5677.9
1786216561.5,settle,1.8,5421.3
