test,run,ms,rows,status,error
A_journey_01,1,584,4,ok,
A_journey_02,1,288,20,ok,
A_journey_03,1,281,20,ok,
A_journey_04,1,279,20,ok,
A_journey_05,1,276,20,ok,
A_journey_06,1,269,20,ok,
A_journey_07,1,299,20,ok,
A_journey_08,1,266,20,ok,
A_journey_09,1,263,20,ok,
A_journey_10,1,259,20,ok,
A_journey_11,1,267,20,ok,
A_journey_12,1,266,20,ok,
A_journey_13,1,258,20,ok,
A_journey_14,1,259,20,ok,
A_journey_15,1,254,20,ok,
A_journey_16,1,256,20,ok,
A_journey_17,1,280,18,ok,
A_journey_18,1,260,20,ok,
A_journey_19,1,255,20,ok,
A_journey_20,1,347,20,ok,
B1_funnel_24h,1,1791,10,ok,
B1_funnel_24h,2,1780,10,ok,
B1_funnel_24h,3,1815,10,ok,
B2_funnel_48h,1,3863,10,ok,
B2_funnel_48h,2,3618,10,ok,
B2_funnel_48h,3,3768,10,ok,
B3_inflight_24h,1,377,10,ok,
B3_inflight_24h,2,421,10,ok,
B3_inflight_24h,3,398,10,ok,
B4_hourly_throughput_48h,1,605,477,ok,
B4_hourly_throughput_48h,2,658,477,ok,
B4_hourly_throughput_48h,3,1084,477,ok,
B5_route_rollup_24h,1,1746,40,ok,
B5_route_rollup_24h,2,1315,40,ok,
B5_route_rollup_24h,3,1492,40,ok,
