unix_ts,phase,cpu_pct,mem_mb
1786218712.5,baseline,0.0,6.3
1786218714.5,baseline,0.0,6.6
1786218716.5,baseline,1.6,6.5
1786218718.5,ingest,172.5,203.6
1786218720.6,ingest,160.1,403.1
1786218722.6,ingest,158.5,558.3
1786218724.6,ingest,36.2,665.3
1786218726.6,ingest,89.7,1503.2
1786218728.6,ingest,135.6,1563.4
1786218730.7,ingest,85.7,1289.6
1786218732.7,ingest,40.1,1304.6
1786218734.7,ingest,37.3,1347.5
1786218736.8,ingest,78.4,807.8
1786218738.8,ingest,27.4,758.5
1786218740.9,ingest,26.0,802.5
1786218742.9,ingest,27.7,740.1
1786218744.9,ingest,34.4,733.8
1786218746.9,ingest,109.4,984.2
1786218748.9,ingest,22.6,935.7
1786218751.0,ingest,30.2,984.4
1786218753.0,ingest,30.8,782.9
1786218755.0,ingest,33.0,858.9
1786218757.0,ingest,120.0,899.4
1786218759.0,ingest,23.9,900.4
1786218761.1,ingest,27.3,902.5
1786218763.1,ingest,48.2,732.8
1786218765.1,ingest,33.6,783.0
1786218767.1,ingest,99.4,923.6
1786218769.1,ingest,26.1,924.9
1786218771.2,ingest,25.5,905.2
1786218773.2,ingest,33.3,858.3
1786218775.2,ingest,32.5,883.1
1786218777.2,ingest,98.1,1033.9
1786218779.3,ingest,25.7,1034.8
1786218781.3,ingest,26.6,991.1
1786218783.4,ingest,30.2,997.5
1786218785.4,ingest,116.4,1019.4
1786218787.4,ingest,269.3,1558.0
1786218789.4,ingest,258.2,1276.7
1786218791.5,ingest,165.2,1367.9
1786218793.5,ingest,163.4,1515.0
1786218795.5,ingest,173.0,1660.0
1786218797.5,ingest,276.8,2917.4
1786218799.6,ingest,283.5,3087.0
1786218801.7,ingest,274.0,3244.8
1786218803.6,ingest,283.6,3419.9
1786218805.6,ingest,240.7,2975.3
1786218807.6,ingest,270.6,2766.0
1786218809.8,ingest,272.8,2993.6
1786218811.8,ingest,272.7,3122.4
1786218813.8,ingest,276.7,3468.2
1786218815.9,hosts,126.5,2119.6
1786218817.9,hosts,153.1,2988.2
1786218820.2,hosts,129.7,3046.2
1786218822.0,hosts,127.0,2746.6
1786218823.9,hosts,142.6,2143.2
1786218825.9,hosts,405.8,2484.6
1786218827.9,query_a,323.2,3028.0
1786218830.0,query_a,199.9,3803.2
1786218832.0,query_a,99.7,2667.2
1786218834.0,query_b,99.8,2827.2
1786218836.1,query_b,1153.7,4209.1
1786218838.1,query_b,726.1,4705.1
1786218840.2,query_b,138.1,5425.6
1786218842.3,query_b,1811.7,5567.4
1786218844.3,query_b,191.0,6093.5
1786218846.3,query_b,2239.8,6257.8
1786218848.3,query_b,722.4,6996.5
1786218850.4,query_b,2052.0,7051.3
1786218852.5,query_b,328.3,8305.4
1786218854.5,query_b,188.0,8423.5
1786218856.5,query_b,261.4,8515.8
1786218858.5,query_b,428.7,8457.9
1786218860.7,burst,1172.8,7718.1
1786218862.8,storage,28.4,7751.3
1786218864.8,settle,0.0,8376.3
1786218866.8,settle,5.5,8270.0
1786218868.8,settle,0.1,8271.0
1786218870.9,settle,0.0,8271.0
1786218872.9,settle,0.0,6716.3
