test,run,ms,rows,status,error
A_journey_01,1,421,20,ok,
A_journey_02,1,8,20,ok,
A_journey_03,1,50,20,ok,
A_journey_04,1,51,20,ok,
A_journey_05,1,48,20,ok,
A_journey_06,1,49,20,ok,
A_journey_07,1,52,20,ok,
A_journey_08,1,50,20,ok,
A_journey_09,1,49,20,ok,
A_journey_10,1,46,20,ok,
A_journey_11,1,48,20,ok,
A_journey_12,1,50,20,ok,
A_journey_13,1,50,20,ok,
A_journey_14,1,50,20,ok,
A_journey_15,1,50,20,ok,
A_journey_16,1,48,20,ok,
A_journey_17,1,48,20,ok,
A_journey_18,1,48,20,ok,
A_journey_19,1,48,20,ok,
A_journey_20,1,48,20,ok,
B1_funnel_24h,1,3201,10,ok,
B1_funnel_24h,2,2834,10,ok,
B1_funnel_24h,3,2742,10,ok,
B2_funnel_48h,1,9923,10,ok,
B2_funnel_48h,2,13911,10,ok,
B2_funnel_48h,3,11252,10,ok,
B3_inflight_24h,1,627,10,ok,
B3_inflight_24h,2,677,10,ok,
B3_inflight_24h,3,775,10,ok,
B4_hourly_throughput_48h,1,953,493,ok,
B4_hourly_throughput_48h,2,939,493,ok,
B4_hourly_throughput_48h,3,993,493,ok,
B5_route_rollup_24h,1,2021,40,ok,
B5_route_rollup_24h,2,1777,40,ok,
B5_route_rollup_24h,3,2211,40,ok,
