unix_ts,phase,cpu_pct,mem_mb
1786221360.1,baseline,0.0,65.2
1786221362.1,baseline,0.0,65.0
1786221364.1,baseline,0.1,65.0
1786221366.1,query_a,81.1,273.6
1786221368.2,query_b,161.8,1024.9
1786221370.2,query_b,1940.0,1957.4
1786221372.2,query_b,878.5,2617.8
1786221374.2,query_b,198.9,2967.8
1786221376.3,query_b,995.4,3297.5
1786221378.3,query_b,101.8,3892.3
1786221380.4,query_b,579.7,4154.3
1786221382.4,query_b,2.2,4216.6
1786221384.4,query_b,321.4,4189.7
1786221386.5,query_b,78.7,4312.1
1786221388.5,query_b,290.6,4741.6
1786221390.5,query_b,1673.3,4786.7
1786221392.5,query_b,8.4,4791.0
1786221394.5,query_b,3.1,4790.0
1786221396.6,query_b,1417.6,4787.8
1786221398.6,query_b,60.1,4962.8
1786221400.6,query_b,170.2,5156.1
1786221402.6,query_b,499.1,5592.0
1786221404.6,query_b,1261.8,5593.1
1786221406.7,query_b,10.8,5591.0
1786221408.8,query_b,189.5,5680.1
1786221410.8,query_b,2.8,5525.5
1786221412.8,query_b,140.1,6631.4
1786221414.8,query_b,303.6,7405.6
1786221416.9,query_b,99.9,7914.6
1786221418.9,query_b,100.1,8213.1
1786221420.9,query_b,100.1,7788.9
1786221422.9,burst,78.7,8077.8
1786221424.9,burst,252.5,8198.0
1786221427.1,storage,255.5,8188.4
1786221429.1,settle,61.2,8250.6
1786221431.1,settle,80.8,8193.7
1786221433.1,settle,74.5,8215.2
1786221435.1,settle,0.0,8141.1
1786221437.2,settle,0.1,7535.5
